ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,Source,Status,Studios,Title,Type
1,"Apr 3, 1998 to Apr 24, 1999",24 min. per ep.,26,"Action, Sci-Fi, Adventure, Space, Comedy, Drama",33,25,R - 17+ (violence & profanity),8.81,Original,Finished Airing,Sunrise,Cowboy Bebop,TV
5,1-Sep-01,1 hr. 54 min.,1,"Action, Space, Drama, Mystery, Sci-Fi",395,151,R - 17+ (violence & profanity),8.4,Original,Finished Airing,Bones,Cowboy Bebop: Tengoku no Tobira (Cowboy Bebop: The Movie),Movie
6,"Apr 1, 1998 to Sep 30, 1998",24 min. per ep.,26,"Action, Comedy, Sci-Fi",126,219,PG-13 - Teens 13 or older,8.32,Manga,Finished Airing,Madhouse,Trigun,TV
7,"Jul 2, 2002 to Dec 24, 2002",25 min. per ep.,26,"Action, Drama, Magic, Mystery, Police, Supernatural",965,2167,PG-13 - Teens 13 or older,7.35,Original,Finished Airing,Sunrise,Witch Hunter Robin,TV
8,"Sep 30, 2004 to Sep 29, 2005",23 min. per ep.,52,"Adventure, Fantasy, Shounen, Supernatural",3164,3252,PG - Children,7.05,Manga,Finished Airing,Toei Animation,Beet the Vandel Buster,TV
15,"Apr 6, 2005 to Mar 19, 2008",23 min. per ep.,145,"Action, Sports, Comedy, Shounen",742,461,PG-13 - Teens 13 or older,8.06,Manga,Finished Airing,Studio Gallop,Eyeshield 21,TV
16,"Apr 15, 2005 to Sep 27, 2005",23 min. per ep.,24,"Comedy, Drama, Josei, Romance, Slice of Life",438,352,PG-13 - Teens 13 or older,8.16,Manga,Finished Airing,J.C.Staff,Hachimitsu to Clover (Honey and Clover),TV
17,"Sep 11, 2002 to Sep 10, 2003",23 min. per ep.,52,"Slice of Life, Comedy, Sports, Shounen",2723,1047,PG-13 - Teens 13 or older,7.71,Manga,Finished Airing,Nippon Animation,Hungry Heart: Wild Striker,TV
18,"Apr 17, 2004 to Feb 18, 2006",27 min. per ep.,24,"Action, Cars, Sports, Drama, Seinen",1305,268,PG-13 - Teens 13 or older,8.24,Manga,Finished Airing,A.C.G.T.,Initial D Fourth Stage,TV
19,"Apr 7, 2004 to Sep 28, 2005",24 min. per ep.,74,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",149,44,R+ - Mild Nudity,8.7,Manga,Finished Airing,Madhouse,Monster,TV
20,"Oct 3, 2002 to Feb 8, 2007",23 min. per ep.,220,"Action, Comedy, Super Power, Martial Arts, Shounen",8,808,PG-13 - Teens 13 or older,7.83,Manga,Finished Airing,Studio Pierrot,Naruto,TV
21,"Oct 20, 1999 to ?",24 min.,Unknown,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",32,77,PG-13 - Teens 13 or older,8.57,Manga,Currently Airing,Toei Animation,One Piece,TV
22,"Oct 10, 2001 to Mar 23, 2005",22 min. per ep.,178,"Action, Comedy, School, Shounen, Sports",710,504,PG-13 - Teens 13 or older,8.03,Manga,Finished Airing,Trans Arts,Prince of Tennis (The Prince of Tennis),TV
23,"Oct 6, 2004 to Dec 15, 2004",25 min. per ep.,12,"Action, Shounen, Sports",5684,4789,PG - Children,6.66,Unknown,Finished Airing,Toei Animation,Ring ni Kakero 1,TV
24,"Oct 5, 2004 to Mar 29, 2005",23 min. per ep.,26,"Comedy, Romance, School, Shounen",289,480,PG-13 - Teens 13 or older,8.05,Manga,Finished Airing,Studio Comet,School Rumble,TV
25,"Oct 6, 2004 to Mar 30, 2005",24 min. per ep.,24,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",938,1473,R - 17+ (violence & profanity),7.54,Manga,Finished Airing,Gonzo,Sunabouzu (Desert Punk),TV
