ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,ScoredBy,Source,Status,Studios,Title,Type
1,"Apr 3, 1998 to Apr 24, 1999",24 min. per ep.,26,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",33,24,R - 17+ (violence & profanity),8.81,299019,Original,Finished Airing,Sunrise,Cowboy Bebop,TV
5,1-Sep-01,1 hr. 54 min.,1,"Action, Space, Drama, Mystery, Sci-Fi",398,150,R - 17+ (violence & profanity),8.4,97049,Original,Finished Airing,Bones,Cowboy Bebop: Tengoku no Tobira (Cowboy Bebop: The Movie),Movie
6,"Apr 1, 1998 to Sep 30, 1998",24 min. per ep.,26,"Action, Comedy, Sci-Fi",126,213,PG-13 - Teens 13 or older,8.32,172153,Manga,Finished Airing,Madhouse,Trigun,TV
7,"Jul 2, 2002 to Dec 24, 2002",25 min. per ep.,26,"Action, Drama, Magic, Mystery, Police, Supernatural",981,2165,PG-13 - Teens 13 or older,7.35,30228,Original,Finished Airing,Sunrise,Witch Hunter Robin,TV
8,"Sep 30, 2004 to Sep 29, 2005",23 min. per ep.,52,"Adventure, Fantasy, Shounen, Supernatural",3193,3250,PG - Children,7.05,4494,Manga,Finished Airing,Toei Animation,Beet the Vandel Buster,TV
15,"Apr 6, 2005 to Mar 19, 2008",23 min. per ep.,145,"Action, Sports, Comedy, Shounen",748,457,PG-13 - Teens 13 or older,8.06,43108,Manga,Finished Airing,Studio Gallop,Eyeshield 21,TV
16,"Apr 15, 2005 to Sep 27, 2005",23 min. per ep.,24,"Comedy, Drama, Josei, Romance, Slice of Life",441,348,PG-13 - Teens 13 or older,8.16,50299,Manga,Finished Airing,J.C.Staff,Hachimitsu to Clover (Honey and Clover),TV
17,"Sep 11, 2002 to Sep 10, 2003",23 min. per ep.,52,"Slice of Life, Comedy, Sports, Shounen",2735,1045,PG-13 - Teens 13 or older,7.71,8129,Manga,Finished Airing,Nippon Animation,Hungry Heart: Wild Striker,TV
18,"Apr 17, 2004 to Feb 18, 2006",27 min. per ep.,24,"Action, Cars, Sports, Drama, Seinen",1302,265,PG-13 - Teens 13 or older,8.24,29249,Manga,Finished Airing,A.C.G.T.,Initial D Fourth Stage,TV
19,"Apr 7, 2004 to Sep 28, 2005",24 min. per ep.,74,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",148,44,R+ - Mild Nudity,8.7,98534,Manga,Finished Airing,Madhouse,Monster,TV
20,"Oct 3, 2002 to Feb 8, 2007",23 min. per ep.,220,"Action, Comedy, Super Power, Martial Arts, Shounen",8,783,PG-13 - Teens 13 or older,7.84,524031,Manga,Finished Airing,Studio Pierrot,Naruto,TV
21,"Oct 20, 1999 to ?",24 min.,Unknown,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",32,73,PG-13 - Teens 13 or older,8.57,349845,Manga,Currently Airing,Toei Animation,One Piece,TV
22,"Oct 10, 2001 to Mar 23, 2005",22 min. per ep.,178,"Action, Comedy, School, Shounen, Sports",715,506,PG-13 - Teens 13 or older,8.03,43720,Manga,Finished Airing,Trans Arts,Prince of Tennis (The Prince of Tennis),TV
23,"Oct 6, 2004 to Dec 15, 2004",25 min. per ep.,12,"Action, Shounen, Sports",5714,4816,PG - Children,6.65,690,Manga,Finished Airing,Toei Animation,Ring ni Kakero 1,TV
24,"Oct 5, 2004 to Mar 29, 2005",23 min. per ep.,26,"Comedy, Romance, School, Shounen",292,480,PG-13 - Teens 13 or older,8.05,93433,Manga,Finished Airing,Studio Comet,School Rumble,TV
25,"Oct 6, 2004 to Mar 30, 2005",24 min. per ep.,24,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",942,1462,R - 17+ (violence & profanity),7.54,30948,Manga,Finished Airing,Gonzo,Sunabouzu (Desert Punk),TV
